PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin_known,FamilySize,IsAlone,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other
1,0,3,1,-0.5348911628688886,1,0,-0.5024451714361923,0,0.059159876663617626,0,False,True,False,True,False,False
2,1,1,0,0.6683917564561223,1,0,0.7868452935884461,1,0.059159876663617626,0,False,False,False,False,True,False
3,1,3,0,-0.23407043303763592,0,0,-0.4888542575852486,0,-0.5609748304808925,1,False,True,True,False,False,False
4,1,1,0,0.4427762090826827,1,0,0.4207302360686478,1,0.059159876663617626,0,False,True,False,False,True,False
5,0,3,1,0.4427762090826827,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
6,0,3,1,-0.3092756154954491,0,0,-0.47811642890864375,0,-0.5609748304808925,1,True,False,False,True,False,False
7,0,1,1,1.8716746757811333,0,0,0.395813560675251,1,-0.5609748304808925,1,False,True,False,True,False,False
8,0,3,1,-2.038994812025152,3,1,-0.22408312108167944,0,1.9195639980971482,0,False,True,False,False,False,False
9,1,3,0,-0.15886525057982273,0,2,-0.4242561406845337,0,0.6792945838081278,0,False,True,False,False,True,False
10,1,2,0,-1.136532622531394,1,0,-0.04295550208861426,0,0.059159876663617626,0,False,False,False,False,True,False
11,1,3,0,-1.8885844471095259,1,1,-0.312172377522981,1,0.6792945838081278,0,False,True,True,False,False,False
12,1,1,0,2.172495405612386,0,0,-0.11384570873513637,1,-0.5609748304808925,1,False,True,True,False,False,False
13,0,3,1,-0.685301527784515,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
14,0,3,1,0.7435969389139355,1,5,-0.01870931177853076,0,3.1598334123861687,0,False,True,False,True,False,False
15,0,3,0,-1.136532622531394,0,0,-0.4902797934380587,0,-0.5609748304808925,1,False,True,True,False,False,False
16,1,2,0,1.9468798582389464,0,0,-0.3262666585535892,0,-0.5609748304808925,1,False,True,False,False,True,False
17,0,3,1,-2.038994812025152,4,1,-0.06199888922968463,0,2.5396987052416584,0,True,False,False,False,False,False
18,1,2,1,0.06675029679361683,0,0,-0.3866707201133388,0,-0.5609748304808925,1,False,True,False,True,False,False
